Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
LASC11;Shoppings;100;9,31%;8,67%;0,7;294030000;910329;2;14282,7;1439,92;10,08%;2,40%
LFTT11;Outros;6,14;-11,45%;0,00%;0,41;20047100;49740;51;42,07;0;0,00%;99,33%
LIFE11;Outros;8,79;11,90%;17,84%;0,88;333152000;616791;0;0;0;0,00%;0,00%
LPLP11;Residencial;408;15,73%;28,04%;1,03;236848000;121964;0;0;0;0,00%;0,00%
LRDI11;Híbrido;86,48;-0,41%;0,00%;1,05;31978500;5;0;0;0;0,00%;0,00%
LSAG11;Títulos e Val. Mob.;75,85;16,20%;16,91%;0,77;76558000;51893;0;0;0;0,00%;0,00%
LTMT11;Residencial;95,21;5,21%;8,03%;1;11897400;3037;0;0;0;0,00%;0,00%
LVBI11;Logística;102,3;9,37%;9,77%;0,82;1648930000;2294610;10;2956,44;304,89;10,31%;7,93%
MALL11;Híbrido;102,27;13,91%;9,46%;0,84;1429950000;2790870;11;4739,2;755,88;15,95%;3,64%
MANA11;;8,82;8,21%;13,99%;0,95;331069000;1136630;0;0;0;0,00%;0,00%
MAXR11;Híbrido;65;7,84%;28,75%;0,62;73167600;318336;7;1206,52;118,41;9,81%;24,55%
MCCI11;Títulos e Val. Mob.;84,65;11,31%;11,69%;0,9;1435670000;3033240;0;0;0;0,00%;0,00%
MCEM11;Títulos e Val. Mob.;65;-0,32%;0,00%;1,78;187832000;210939;0;0;0;0,00%;0,00%
MCLO11;Híbrido;10,5;2,09%;3,30%;1,05;1308750000;2354920;4;1834,1;30,46;1,66%;0,00%
MCRE11;Títulos e Val. Mob.;8,77;12,33%;14,18%;0,86;978723000;3081180;1;1595,66;80,15;5,02%;35,85%
MFII11;Híbrido;84,78;3,91%;16,15%;0,81;505492000;867846;3;8650,67;0;0,00%;0,00%
MGHT11;Híbrido;12,89;2,37%;6,99%;0,49;16934700;73211;1;3149,64;345,44;10,97%;0,00%
MXRF11;Híbrido;9,6;9,86%;11,75%;1,02;4198320000;11149100;2;25712,5;0;0,00%;0,00%
NAVT11;Títulos e Val. Mob.;71,96;11,47%;14,00%;0,85;44059800;99738;0;0;0;0,00%;0,00%
NCHB11B;Títulos e Val. Mob.;7,97;15,42%;14,84%;0,82;121793000;7729;0;0;0;0,00%;0,00%
NCRA11;Títulos e Val. Mob.;7,7;21,21%;15,44%;0,73;34341600;63185;0;0;0;0,00%;0,00%
NCRI11;Títulos e Val. Mob.;8,2;14,59%;14,56%;0,82;32390000;14235;0;0;0;0,00%;0,00%
NEWL11;Híbrido;102,4;15,23%;11,14%;0,78;288503000;382125;3;3012,45;415,52;13,79%;0,00%
NEWU11;Híbrido;82,63;5,44%;1,11%;1,06;61311500;514369;3;4387,69;767,95;17,50%;47,02%
NEXG11;Outros;130;3,60%;8,12%;1,3;90805000;336900;0;0;0;0,00%;0,00%
NSLU11;Hospital;161,56;11,35%;11,40%;0,77;208943000;345529;1;8531,75;1048,18;12,29%;0,00%
NVHO11;Hospital;12,59;14,81%;8,00%;0,76;522416000;2217;4;16963,4;2589,45;15,26%;0,00%
OCRE11;Títulos e Val. Mob.;73,89;9,86%;10,79%;0,82;31254400;23202;0;0;0;0,00%;0,00%
OIAG11;Títulos e Val. Mob.;7,43;13,92%;15,80%;0,75;67115200;185558;0;0;0;0,00%;0,00%
OUJP11;Híbrido;78,99;15,04%;13,91%;0,79;256906000;455195;0;0;0;0,00%;0,00%
OULG11;Logística;39,08;5,87%;1,91%;0,63;96968600;218108;2;1307,42;141,39;10,81%;0,00%
